"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2019","1.6427","1.7545","1.8435","1.5922","9.72M","-6.39%"
"May 11, 2019","1.7549","1.5910","1.8241","1.5884","9.73M","10.36%"
"May 10, 2019","1.5902","1.5951","1.6239","1.5500","5.11M","-0.30%"
"May 09, 2019","1.5950","1.6550","1.6762","1.5776","7.18M","-3.64%"
"May 08, 2019","1.6553","1.6129","1.6873","1.5718","10.21M","2.61%"
"May 07, 2019","1.6131","1.6084","1.6785","1.6084","9.21M","0.30%"
"May 06, 2019","1.6083","1.5716","1.6555","1.5117","8.48M","2.34%"
"May 05, 2019","1.5715","1.6088","1.6217","1.5679","6.96M","-2.33%"
"May 04, 2019","1.6090","1.6966","1.7746","1.5756","9.76M","-5.17%"
"May 03, 2019","1.6967","1.6885","1.7249","1.6401","10.36M","0.48%"
"May 02, 2019","1.6886","1.6045","1.7159","1.5715","9.65M","5.35%"
"May 01, 2019","1.6029","1.5727","1.6339","1.5703","10.16M","1.92%"
"Apr 30, 2019","1.5727","1.4845","1.5732","1.4845","9.87M","5.94%"
"Apr 29, 2019","1.4845","1.5318","1.5682","1.4633","10.52M","-3.10%"
"Apr 28, 2019","1.5320","1.5793","1.6080","1.5198","9.25M","-3.02%"
"Apr 27, 2019","1.5797","1.5288","1.6304","1.4882","11.30M","3.34%"
"Apr 26, 2019","1.5287","1.5062","1.5580","1.4418","12.23M","1.50%"
"Apr 25, 2019","1.5062","1.6665","1.6978","1.4083","13.01M","-9.62%"
"Apr 24, 2019","1.6664","1.7452","1.7529","1.5656","20.61M","-4.52%"
"Apr 23, 2019","1.7452","1.8557","1.8764","1.7449","20.69M","-5.99%"
"Apr 22, 2019","1.8564","1.8475","1.8761","1.8128","18.02M","0.47%"
"Apr 21, 2019","1.8477","1.9545","1.9648","1.7653","12.00M","-5.47%"
"Apr 20, 2019","1.9546","1.9637","1.9805","1.9239","8.77M","-0.46%"
"Apr 19, 2019","1.9635","1.9735","1.9814","1.9063","9.66M","-0.51%"
"Apr 18, 2019","1.9735","1.9365","1.9883","1.9160","8.68M","1.88%"
"Apr 17, 2019","1.9372","1.9138","1.9497","1.8780","8.53M","1.21%"
"Apr 16, 2019","1.9140","1.8458","1.9523","1.8183","6.05M","3.69%"
"Apr 15, 2019","1.8459","1.9779","2.0187","1.7897","11.47M","-6.67%"
"Apr 14, 2019","1.9779","1.9164","1.9781","1.8266","10.49M","3.21%"
"Apr 13, 2019","1.9164","1.9684","1.9973","1.8975","9.13M","-2.64%"
"Apr 12, 2019","1.9683","1.9928","2.0360","1.8607","11.51M","-1.23%"
"Apr 11, 2019","1.9928","2.2271","2.2350","1.8748","15.34M","-10.52%"
"Apr 10, 2019","2.2271","2.2372","2.3103","2.2045","10.50M","-0.44%"
"Apr 09, 2019","2.2370","2.3298","2.3302","2.1889","11.19M","-3.98%"
"Apr 08, 2019","2.3298","2.3369","2.4931","2.1914","17.61M","-0.30%"
"Apr 07, 2019","2.3369","2.3337","2.3677","2.2637","15.87M","0.19%"
"Apr 06, 2019","2.3325","2.4557","2.4563","2.3015","18.35M","-5.03%"
"Apr 05, 2019","2.4559","2.1270","2.4698","2.1270","22.07M","15.47%"
"Apr 04, 2019","2.1269","1.9890","2.2175","1.9611","21.72M","6.94%"
"Apr 03, 2019","1.9890","2.0759","2.2836","1.9490","27.62M","-4.18%"
"Apr 02, 2019","2.0758","1.8362","2.0939","1.8172","25.56M","13.05%"
"Apr 01, 2019","1.8362","1.8519","1.9162","1.7909","14.59M","-0.85%"
"Mar 31, 2019","1.8519","1.8905","1.9200","1.8422","10.76M","-2.04%"
